repetition,N.cores,storage,overall,sum
1,1,disk,2.89999999999998,2.86000000000001
1,1,memory,2.11000000000001,1.97000000000003
1,2,disk,2.95999999999992,5.79999999999996
1,2,memory,2.68999999999994,4.01999999999998
1,3,disk,3,8.80000000000007
1,3,memory,2.40999999999997,6.04000000000008
1,4,disk,3.53000000000009,11.9100000000001
1,4,memory,3.05999999999995,8.72000000000014
1,5,disk,3.34999999999991,14.9799999999999
1,5,memory,3.28999999999996,10.46
1,6,disk,3.58000000000004,19.3300000000002
1,6,memory,3.63999999999999,12.6099999999999
1,7,disk,3.77999999999997,24.12
1,7,memory,2.99000000000001,15.6700000000002
1,8,disk,4.63,32.92
1,8,memory,4.13999999999999,17.05
1,9,disk,4.57999999999993,38.7399999999998
1,9,memory,3.37,22.9400000000001
1,10,disk,5.40999999999997,48.9500000000001
1,10,memory,3.37,26.4699999999998
1,11,disk,5.38,55.5200000000003
1,11,memory,3.89999999999998,29.3499999999998
1,12,disk,6.16999999999996,65.7600000000001
1,12,memory,3.81000000000006,34.5099999999999
2,1,disk,3.11000000000001,3.04000000000008
2,1,memory,2.13,1.9799999999999
2,2,disk,3,5.83999999999992
2,2,memory,2.41999999999996,4.07000000000005
2,3,disk,3.04999999999995,8.91999999999996
2,3,memory,2.20999999999992,6.02999999999997
2,4,disk,3.15999999999997,12.0400000000001
2,4,memory,2.13999999999999,8.13000000000011
2,5,disk,3.25,15.1999999999998
2,5,memory,2.85000000000002,10.28
2,6,disk,3.61000000000001,20.2000000000003
2,6,memory,2.65000000000009,12.37
2,7,disk,4.10000000000002,26.34
2,7,memory,3.10000000000002,15.4999999999998
2,8,disk,4.52999999999997,33.1400000000002
2,8,memory,3.56999999999994,18.6199999999998
2,9,disk,4.73000000000002,40.06
2,9,memory,3.16999999999996,22.9199999999998
2,10,disk,5.29999999999996,49.6700000000002
2,10,memory,3.76999999999998,24.8999999999999
2,11,disk,5.87000000000001,59.3300000000004
2,11,memory,4,33.1199999999999
2,12,disk,6.80999999999995,74.1300000000001
2,12,memory,5.21999999999991,26.8100000000002
